三亚市	2014-02-01	40	32-55	优	23.4	32.8	3.8	0.744	9.1	65.9
三门峡市	2014-02-01	280	183-377	重度污染	229.7	263.5	110.4	4.148	65.4	27.1
上海市	2014-02-01	90	47-175	良	66.5	69.5	14.4	0.741	43.4	61.4
东莞市	2014-02-01	69	43-106	良	45.1	37.3	15.2	0.837	26.9	81.9
东营市	2014-02-01	69	31-166	良	45.2	81.4	31.7	1.051	19.1	43.3
中山市	2014-02-01	62	29-133	良	37.6	55.9	6.7	0.893	19.6	58.8
临安市	2014-02-01	110	74-212	轻度污染	82.1	110.1	5.6	1.294	19.2	79.9
临汾市	2014-02-01	114	84-158	轻度污染	85.8	111.9	51.1	3.051	34.3	39
临沂市	2014-02-01	290	190-437	重度污染	242.8	286.6	73.8	3.682	53	15.8
丹东市	2014-02-01	68	43-106	良	45.5	74	98.1	1.307	31.1	33.4
丽水市	2014-02-01	71	56-90	良	51.1	52.2	8.8	0.488	21	68.8
义乌市	2014-02-01	102	60-168	轻度污染	76	91.6	21.9	1.214	25.9	91.2
乌鲁木齐市	2014-02-01	28	19-33	优	12.5	18.5	9.8	0.812	28.4	53.5
九江市	2014-02-01	84	66-111	良	59.4	97.8	49.4	0.821	19.8	39.9
乳山市	2014-02-01	58	34-90	良	40.3	38.9	5.6	1.319	14	32.9
云浮市	2014-02-01	59	35-100	良	37.8	42.6	11.2	2.02	8.2	73.3
佛山市	2014-02-01	63	41-105	良	42.8	59.4	16.5	0.792	17.8	75.6
保定市	2014-02-01	175	144-211	中度污染	132.8	228.8	76.6	2.759	52.3	25.5
克拉玛依市	2014-02-01	49	32-70	优	21.9	49.9	2.8	0.653	7.8	64.3
兰州市	2014-02-01	107	69-134	轻度污染	79.8	108.1	49.6	2.056	52.8	45.6
包头市	2014-02-01	185	102-264	中度污染	141.2	270.6	152.2	3.193	72.4	28.9
北京市	2014-02-01	179	149-213	中度污染	135.1	145.8	51.5	1.978	57.5	8.1
北海市	2014-02-01	68	53-124	良	41.5	65.4	9.7	1.405	9.5	65.6
南京市	2014-02-01	242	205-302	重度污染	191.6	237.8	23.4	1.853	39.6	41.5
南充市	2014-02-01	224	200-248	重度污染	172.6	250.1	29.2	1.553	38.7	23.1
南宁市	2014-02-01	68	46-90	良	49.1	62	10.6	0.888	18.7	71.1
南昌市	2014-02-01	79	49-137	良	55.4	82.8	15.6	0.944	21.1	71.3
南通市	2014-02-01	137	79-280	轻度污染	105.8	120.6	26.6	1.083	33.8	55.4
即墨市	2014-02-01	46	27-92	优	29.2	43.1	16.5	0.9	21.2	41
厦门市	2014-02-01	74	41-108	良	53.2	65.2	11.1	0.622	41.2	77.4
句容市	2014-02-01	210	145-317	重度污染	164	58.1	34.9	1.2	35.5	67.1
台州市	2014-02-01	95	55-186	良	70.4	89.2	4.9	1.041	18.2	57.2
合肥市	2014-02-01	324	220-461	严重污染	266.3	333.6	17.2	2.353	20.6	34.2
吉林市	2014-02-01	169	106-272	中度污染	129.1	163.4	48.1	2.295	41	54.6
吴江市	2014-02-01	89	66-148	良	65.9	82.5	11.9	0.865	18.9	98.5
呼和浩特市	2014-02-01	231	149-500	重度污染	179.2	284.2	155.6	5.475	76.1	22.8
咸阳市	2014-02-01	403	334-500	严重污染	364.2	483.8	53.6	2.801	54.9	35.9
哈尔滨市	2014-02-01	148	69-244	轻度污染	112.6	162.8	132.6	1.194	65.4	41.6
唐山市	2014-02-01	145	85-226	轻度污染	110.1	147	104.6	3.215	43.4	8.2
嘉兴市	2014-02-01	90	69-161	良	66.6	77.6	14.6	1.042	32.3	92.4
嘉峪关市	2014-02-01	83	55-150	良	25.8	114.5	67.8	0.944	31	54
大同市	2014-02-01	254	218-285	重度污染	203.2	257.2	170.2	4.631	78.8	32.2
大庆市	2014-02-01	92	68-135	良	67.9	75.2	28	0.791	22.3	50.8
大连市	2014-02-01	49	37-66	优	28.8	50.2	43.6	0.569	26.4	40.4
天津市	2014-02-01	73	43-106	良	53.2	65.2	44	1.588	33.9	14.6
太仓市	2014-02-01	93	55-182	良	68.7	83.7	25.5	1.649	24.1	84.3
太原市	2014-02-01	246	175-345	重度污染	195.5	272.1	188	3.514	62.9	17.9
威海市	2014-02-01	40	27-58	优	22	39.7	8.5	0.922	27.8	43.4
宁波市	2014-02-01	50	33-83	良	33.8	43.4	10.4	1.306	28.4	68.5
安阳市	2014-02-01	203	152-254	重度污染	157	182.5	92.8	0.146	56.2	25.7
宜兴市	2014-02-01	154	68-281	中度污染	118.7	110.3	27.5	1.732	29.4	46.1
宜宾市	2014-02-01	256	210-296	重度污染	205.4	271.4	28	3.388	29.1	47.6
宜昌市	2014-02-01	296	214-415	重度污染	245.1	310.2	76.5	2.193	18.6	30.7
宝鸡市	2014-02-01	372	294-500	严重污染	331.6	340.9	86.4	3.923	53.1	79.1
宿迁市	2014-02-01	259	86-483	重度污染	222.1	327.1	21.3	3.557	29.8	21.2
富阳市	2014-02-01	123	91-202	轻度污染	91.1	108.1	10.9	0.978	29.8	48.2
寿光市	2014-02-01	203	117-345	重度污染	159.9	243	65.1	2.068	27.4	13
岳阳市	2014-02-01	142	94-208	轻度污染	107.5	176.7	26.2	1.541	25.2	27.2
常州市	2014-02-01	144	95-251	轻度污染	109.6	134.1	28	1.381	26.5	59
常德市	2014-02-01	187	108-264	中度污染	144.3	180.5	21.1	2.287	12.9	42.5
常熟市	2014-02-01	104	60-214	轻度污染	77.2	88.3	67.3	0.96	52.7	97.9
平度市	2014-02-01	69	41-118	良	46.1	58.8	9.1	1.222	19.7	40.2
平顶山市	2014-02-01	341	255-440	严重污染	289.6	370.1	83.8	3.291	70.9	10.2
广州市	2014-02-01	72	40-118	良	51.2	57.2	11.5	0.787	30.3	69.1
库尔勒市	2014-02-01	123	88-157	轻度污染	82.6	191.9	16.1	0.438	18.7	91.2
廊坊市	2014-02-01	155	82-217	中度污染	116.4	153.9	31.5	1.536	35.2	12.5
延安市	2014-02-01	92	45-120	良	63.1	115.6	78.5	2.633	46.1	22.4
开封市	2014-02-01	186	80-273	中度污染	124.7	123	33.6	1.942	23.9	9.1
张家口市	2014-02-01	241	196-320	重度污染	190.3	318.2	192.7	2.624	54.9	42.2
张家港市	2014-02-01	119	66-244	轻度污染	89.8	120.4	28.4	1.33	22.1	62.5
张家界市	2014-02-01	115	80-143	轻度污染	86.6	104.5	27.5	1.506	10.6	48.6
徐州市	2014-02-01	335	207-462	严重污染	289.8	380.9	42.1	2.84	35.1	10.1
德州市	2014-02-01	194	103-283	中度污染	150.1	202.9	45.9	2.569	41.4	3.6
德阳市	2014-02-01	205	134-319	重度污染	160.5	193.5	17.7	1.994	26	45.9
惠州市	2014-02-01	73	48-119	良	51.6	66.9	20.6	0.614	17.4	81.6
成都市	2014-02-01	211	187-237	重度污染	161.3	206.6	14.1	1.556	43.6	46.6
扬州市	2014-02-01	183	138-246	中度污染	140.7	182.5	40.6	1.604	24.4	26.2
承德市	2014-02-01	181	139-210	中度污染	136.6	217.1	97.1	1.932	52.2	13.5
抚顺市	2014-02-01	105	77-154	轻度污染	78.8	116.5	63.1	1.847	43.5	34.8
拉萨市	2014-02-01	41	30-58	优	18.2	36.9	9.6	0.858	14.9	69
招远市	2014-02-01	66	37-105	良	47.5	62.8	16.8	0.878	24.2	24.3
揭阳市	2014-02-01	145	55-258	轻度污染	108.9	83.9	15.6	2.158	16.9	97
攀枝花市	2014-02-01	79	51-138	良	49.9	100.7	92.9	3.373	37.9	33.8
文登市	2014-02-01	106	29-500	轻度污染	89.8	35.4	10.2	1.752	8.9	40.9
无锡市	2014-02-01	128	83-247	轻度污染	96.5	116.2	22.8	1.197	32.2	63.2
日照市	2014-02-01	137	60-291	轻度污染	104.1	132.6	63.2	1.869	29.5	50
昆山市	2014-02-01	96	57-186	良	71.1	89.3	40.6	1.141	41	63.5
昆明市	2014-02-01	38	25-54	优	20.9	32.2	31.8	0.902	20.2	51
曲靖市	2014-02-01	46	25-66	优	21.5	40.5	22.1	0.961	8.9	77.5
本溪市	2014-02-01	90	54-152	良	65.9	90.5	79.1	2.724	42.7	20.1
杭州市	2014-02-01	96	63-159	良	71.4	79.3	11.8	0.76	29.9	58.6
枣庄市	2014-02-01	390	233-500	严重污染	328.5	523.8	84.8	2.803	44.6	16.1
柳州市	2014-02-01	83	57-121	良	59.7	75.9	12.3	0.759	25	85.2
株洲市	2014-02-01	106	67-141	轻度污染	79.2	98.8	33.9	0.94	34.4	59.6
桂林市	2014-02-01	82	40-121	良	59.4	69.8	12.5	0.81	20.3	68.9
梅州市	2014-02-01	59	35-77	良	38.8	49.3	6.5	0.773	13.3	65.3
武汉市	2014-02-01	270	162-339	重度污染	221.3	237.2	16.5	2.071	41.2	42.1
汕头市	2014-02-01	151	67-270	中度污染	117.1	119.7	12.3	0.888	25.7	69.6
汕尾市	2014-02-01	82	26-139	良	60.1	78.4	7.7	0.836	13	65.1
江门市	2014-02-01	65	29-123	良	44.4	62.8	17.8	1.119	16.4	59.5
江阴市	2014-02-01	140	88-244	轻度污染	106.4	74.8	48.2	1.517	37.1	46.5
沈阳市	2014-02-01	150	116-216	轻度污染	113.4	160.5	213.6	1.791	60.5	24
沧州市	2014-02-01	78	56-123	良	56.6	62.7	6.9	1.612	18.4	18.1
河源市	2014-02-01	70	41-103	良	47.6	66.3	11.5	1.065	20.6	67.8
泉州市	2014-02-01	73	48-105	良	51.9	74.8	5.9	0.927	23.5	64.1
泰安市	2014-02-01	355	322-425	严重污染	305	385.8	83.5	3.522	46.8	4.8
泰州市	2014-02-01	167	117-237	中度污染	127.6	171.4	27.8	2.562	17	36.1
泸州市	2014-02-01	269	235-308	重度污染	219.1	258.4	26.4	1.508	42.1	33
洛阳市	2014-02-01	287	229-371	重度污染	236.8	274.6	52.6	3.725	45.2	29.4
济南市	2014-02-01	307	235-392	严重污染	238.6	398.6	67.4	3.825	37.4	7.8
济宁市	2014-02-01	395	287-476	严重污染	334.1	483.8	72.1	3.619	46.3	6.5
海口市	2014-02-01	39	25-52	优	25.2	37.1	4.6	0.448	7.5	44.8
海门市	2014-02-01	123	62-255	轻度污染	93.8	117.9	22.9	0.931	33.8	52.1
淄博市	2014-02-01	341	266-391	严重污染	289.4	409	257.6	4.312	58.6	4
淮安市	2014-02-01	203	116-340	重度污染	160.7	199.5	27.7	2.466	13.7	24.2
深圳市	2014-02-01	55	38-74	良	34.8	49.7	8.3	0.95	36.7	55.3
清远市	2014-02-01	93	57-135	良	68.6	54	18.2	1.124	25.1	70.4
温州市	2014-02-01	73	37-113	良	52.9	65.3	7	1.165	35.1	44.6
渭南市	2014-02-01	374	315-476	严重污染	330.1	407.6	68.1	3.386	34.9	21.2
湖州市	2014-02-01	137	77-257	轻度污染	103.9	107.6	13.9	1.235	31	65.8
湘潭市	2014-02-01	106	76-133	轻度污染	79.8	110.7	36.1	1.195	25.5	88.1
湛江市	2014-02-01	40	28-58	优	23.9	33	10.6	1.123	11.9	55.1
溧阳市	2014-02-01	166	85-276	中度污染	127.5	169.5	22.6	0.945	42.9	55
滨州市	2014-02-01	112	53-213	轻度污染	83.1	115.5	34.3	1.698	20.9	10.5
潍坊市	2014-02-01	184	82-341	中度污染	146	222.9	102.4	2.486	30.5	24.1
潮州市	2014-02-01	127	44-253	轻度污染	95.5	98.7	10.8	1.459	21.9	66.4
烟台市	2014-02-01	51	39-62	良	35.5	43.5	13.9	0.762	32.8	28.4
焦作市	2014-02-01	276	248-291	重度污染	225.9	330.6	116.7	5.585	63.3	8.8
牡丹江市	2014-02-01	139	80-226	轻度污染	105	147.4	36.7	1.487	48	39.1
玉溪市	2014-02-01	58	30-99	良	32.6	60.4	21.2	1.768	17.8	57.4
珠海市	2014-02-01	62	43-90	良	40.2	57.1	7.3	0.775	32.1	81.2
瓦房店市	2014-02-01	56	26-114	良	35.9	56.1	65.4	0.379	15.2	49.1
盐城市	2014-02-01	178	123-241	中度污染	136	153.5	16.2	1.551	20.2	40.2
盘锦市	2014-02-01	179	119-220	中度污染	135.6	172.1	95.2	2.228	31.4	29.1
石嘴山市	2014-02-01	211	128-372	重度污染	160.5	267.8	224.3	2.303	53.1	28.4
石家庄市	2014-02-01	221	193-253	重度污染	170.4	295.6	99.6	1.679	37	21.9
福州市	2014-02-01	66	43-107	良	40	73.3	8.5	0.806	30.2	41.8
秦皇岛市	2014-02-01	76	49-107	良	55.4	75.1	38.1	0.835	25.9	31.9
章丘市	2014-02-01	168	119-246	中度污染	128.6	199.9	38.2	4.007	35.3	0
绍兴市	2014-02-01	86	57-138	良	63	71.2	12.1	0.843	36.9	85
绵阳市	2014-02-01	166	110-202	中度污染	125.1	157.8	21	1.371	37.9	32.9
聊城市	2014-02-01	204	152-239	重度污染	155.9	269.4	48.6	4.176	47.1	7.5
肇庆市	2014-02-01	78	58-106	良	57.3	71.5	14.6	1.145	20.4	85.4
胶南市	2014-02-01	138	53-307	轻度污染	106.8	117.8	25.2	1.719	32.5	34.5
胶州市	2014-02-01	96	43-208	良	71.2	102.9	0.8	1.392	33.6	24.9
自贡市	2014-02-01	188	158-217	中度污染	142.1	185.4	18	1.233	18.3	31.3
舟山市	2014-02-01	36	31-45	优	17.2	24.6	3.5	0.882	16.4	53.8
芜湖市	2014-02-01	244	176-308	重度污染	194.9	237.2	68.8	1.579	27.7	26.5
苏州市	2014-02-01	114	77-210	轻度污染	85.1	90	13.8	0.943	36.8	57.5
茂名市	2014-02-01	65	41-114	良	43.4	58.5	6.7	1.245	10.1	78.6
荆州市	2014-02-01	247	218-289	重度污染	195.9	345.6	25	2.95	22.9	38.7
荣成市	2014-02-01	43	28-64	优	27.2	40.9	9.8	0.602	22.5	45.2
莱州市	2014-02-01	90	37-178	良	66.2	79.6	11.1	1.15	26.9	29.1
莱芜市	2014-02-01	249	173-361	重度污染	199.9	232.6	107.4	3.221	54.1	13.4
莱西市	2014-02-01	67	37-117	良	48.4	65.4	18.5	0.684	25.5	28.8
菏泽市	2014-02-01	327	268-365	严重污染	276.6	329.4	68.4	2.968	41.2	41.8
营口市	2014-02-01	83	48-106	良	60	102	88.1	1.551	46.1	26.8
葫芦岛市	2014-02-01	144	91-178	轻度污染	109.2	160.9	183.6	3.504	39.9	40.2
蓬莱市	2014-02-01	47	34-63	优	22.8	45.5	16.1	1.57	20.6	44.9
衡水市	2014-02-01	210	186-287	重度污染	155.2	299.2	38.9	3.053	39.4	3.6
衢州市	2014-02-01	144	82-245	轻度污染	108.3	97.9	25.1	0.723	44.3	64.6
西宁市	2014-02-01	103	46-203	轻度污染	72.9	125.4	69.2	1.726	32	32.4
西安市	2014-02-01	390	334-456	严重污染	344.8	452.9	68.9	3.758	72.5	26.8
诸暨市	2014-02-01	121	79-166	轻度污染	91.3	102.9	36.2	0.732	10.5	30.9
贵阳市	2014-02-01	68	58-89	良	48.8	54.2	27.2	0.691	20.7	66.6
赤峰市	2014-02-01	143	78-193	轻度污染	107.6	211.9	122.1	1	27.9	17.4
连云港市	2014-02-01	123	57-196	轻度污染	91.7	116.2	14.6	2.024	32	38.8
遵义市	2014-02-01	122	89-159	轻度污染	92	119.4	44.2	0.907	29.5	44.9
邢台市	2014-02-01	259	189-325	重度污染	209.4	305.9	135.4	2.094	57.9	27.8
