平顶山市	2014-04-01	121	79-164	轻度污染	91.3	144.3	74.1	0.783	52.6	76.9
广州市	2014-04-01	56	43-96	良	39	53.8	8.6	1.32	53.4	20
库尔勒市	2014-04-01	131	99-170	轻度污染	54.4	211.4	12.4	0.646	28.9	85.5
廊坊市	2014-04-01	152	64-267	中度污染	115.8	175.1	28.9	1.548	58.4	70.8
延安市	2014-04-01	77	51-130	良	44.4	101.2	16.6	2.628	37.2	49.1
开封市	2014-04-01	101	73-144	轻度污染	69.7	127.9	17.3	1.269	18.8	98.6
张家口市	2014-04-01	53	43-70	良	24.4	56.2	60.4	1.04	32.1	68.6
张家港市	2014-04-01	69	51-90	良	46.9	81.6	23.4	0.804	29.7	80.1
张家界市	2014-04-01	77	57-110	良	53.8	85.2	23.4	0.859	21.9	79.6
徐州市	2014-04-01	88	58-165	良	61.5	106.1	30.4	0.956	30.6	87.6
德州市	2014-04-01	142	90-204	轻度污染	106.8	171.7	38.5	0.984	43.5	69.1
德阳市	2014-04-01	61	49-85	良	41.7	67.4	21.8	0.697	33.8	62.3
惠州市	2014-04-01	38	30-50	优	26	35.6	19.7	1.098	43.2	29.3
成都市	2014-04-01	54	39-67	良	33.8	57.9	12	0.769	44.9	60.1
扬州市	2014-04-01	94	63-144	良	69.1	105.3	27.9	0.833	38.6	55.1
承德市	2014-04-01	92	47-116	良	56.5	123.5	39.6	1.103	39.6	80.3
抚顺市	2014-04-01	100	83-127	良	73.8	126.2	37.5	1.122	42.4	85.4
拉萨市	2014-04-01	68	58-87	良	23.8	84.5	11.5	0.98	11.6	100
招远市	2014-04-01	77	56-103	良	45.9	94.5	42.3	0.525	32.1	100.4
揭阳市	2014-04-01	95	58-126	良	70.5	68.4	26.3	2.034	24.8	55.9
攀枝花市	2014-04-01	66	44-88	良	33.8	81.9	41.8	1.368	26.8	57.9
文登市	2014-04-01	68	51-81	良	27.7	69.6	17.6	1.884	19.8	113.3
无锡市	2014-04-01	99	79-124	良	73.6	109.4	30.4	1.114	59.3	69.6
日照市	2014-04-01	115	71-180	轻度污染	84.9	140.9	25.7	1.154	57.3	89.6
昆山市	2014-04-01	76	63-99	良	52.6	86.9	33.5	0.822	54.8	68.1
昆明市	2014-04-01	91	62-133	良	60.6	119.5	21.6	1.227	38.5	80
曲靖市	2014-04-01	82	67-102	良	59.9	99.6	29.8	1.78	24	59.4
本溪市	2014-04-01	106	69-185	轻度污染	78.6	106.8	42.4	1.842	31.9	64.4
杭州市	2014-04-01	97	68-138	良	72	103.5	22.6	0.704	49.7	43
枣庄市	2014-04-01	124	86-196	轻度污染	86.9	173.6	61.4	0.819	38.8	119.6
柳州市	2014-04-01	95	80-107	良	70.6	92.8	28.4	0.962	22.5	76.6
株洲市	2014-04-01	98	64-152	良	71.3	118	70.1	0.886	56.8	50.2
桂林市	2014-04-01	89	60-135	良	65.8	81.9	17.6	0.744	22.4	85.5
梅州市	2014-04-01	39	24-65	优	19.5	32.7	29.1	1.266	19.8	56.5
武汉市	2014-04-01	94	61-133	良	68.6	123.6	38.1	1.288	78	60.9
