三亚市	2014-03-01	27	14-43	优	11.3	25.7	1.7	0.498	14.4	38.6
三门峡市	2014-03-01	105	93-118	轻度污染	78.6	103.1	45.9	1.456	40.6	29.7
上海市	2014-03-01	41	30-54	优	26.1	38.7	10.8	0.611	45	57.8
东莞市	2014-03-01	43	29-55	优	26.3	41.5	15.3	0.612	41.7	42
东营市	2014-03-01	91	82-106	良	66.5	127.5	84.6	1.04	51.5	61.2
中山市	2014-03-01	50	36-58	良	25.1	51.3	7.2	0.973	30.8	34.1
临安市	2014-03-01	119	41-418	轻度污染	23.7	152.1	11.8	0.831	39.5	57
临汾市	2014-03-01	119	106-150	轻度污染	89.5	135.9	59	3.688	27.5	27.6
临沂市	2014-03-01	89	55-154	良	62.5	115.4	80.3	1.511	63.8	27.5
丹东市	2014-03-01	47	30-81	优	22.5	50.1	29.4	0.694	21	61.1
丽水市	2014-03-01	29	21-36	优	19.9	22.5	11.8	0.844	42.1	33.8
义乌市	2014-03-01	31	20-44	优	21.5	24.3	7.9	0.948	43.9	32.1
乌鲁木齐市	2014-03-01	178	62-289	中度污染	135.5	199.1	65.5	3.063	92.1	32.7
九江市	2014-03-01	16	11-30	优	10.2	15.3	5.8	0.649	20.6	15.1
乳山市	2014-03-01	119	60-500	轻度污染	97.2	106.9	59.8	1.912	30.1	46.7
云浮市	2014-03-01	37	22-52	优	13.9	36.3	6.4	1.406	15.5	33.2
佛山市	2014-03-01	50	45-56	优	27.8	49.3	21.1	1.035	52.5	31.7
保定市	2014-03-01	173	74-316	中度污染	131.8	230.3	116.9	3.426	73.2	43.9
克拉玛依市	2014-03-01	73	54-90	良	52.5	73.1	23.9	1.287	37.7	71.3
兰州市	2014-03-01	94	83-113	良	41.7	136.8	29.7	1.194	42.9	53.7
包头市	2014-03-01	83	60-104	良	35.4	114	85	1.488	39.6	43.3
北京市	2014-03-01	57	23-127	良	38.4	57.2	23.4	0.84	48.1	50.7
北海市	2014-03-01	50	40-68	优	23.9	50.5	10.5	0.647	5.6	60.7
南京市	2014-03-01	56	37-88	良	37.5	60.7	16.3	0.55	47.5	44.3
南充市	2014-03-01	56	50-71	良	36.3	59.4	9.3	0.925	21	26.6
南宁市	2014-03-01	58	39-69	良	37.5	65.5	11.1	0.828	30.9	40.4
南昌市	2014-03-01	17	10-28	优	11.1	16.5	14.4	0.694	21.9	13.2
南通市	2014-03-01	55	36-105	良	34.9	56.4	10.5	0.609	21	65.1
即墨市	2014-03-01	67	47-91	良	46.1	71.7	56.2	1.018	40.2	57.6
厦门市	2014-03-01	64	52-77	良	42.6	76.2	27.2	0.656	75.5	40.7
句容市	2014-03-01	57	44-78	良	38.5	42.4	23.4	0.357	36.1	74.3
台州市	2014-03-01	43	25-105	优	30.3	38.9	5.9	0.949	28.7	54.7
合肥市	2014-03-01	68	53-82	良	48.5	46.5	12.9	0.63	21.1	28.7
吉林市	2014-03-01	78	37-157	良	54.6	90.8	48.7	2.22	41.3	67.8
吴江市	2014-03-01	107	30-374	轻度污染	81.2	73.4	22.3	0.722	52.2	36.8
呼和浩特市	2014-03-01	70	60-87	良	31.3	87.6	86.1	2.249	42.7	32.3
咸阳市	2014-03-01	146	121-200	轻度污染	110.3	159	59.3	1.758	42.8	17.5
哈尔滨市	2014-03-01	72	53-114	良	50.5	87.1	102.6	0.863	48.1	42.1
唐山市	2014-03-01	127	76-178	轻度污染	95.7	145.2	98.3	2.208	60.7	40.7
嘉兴市	2014-03-01	50	33-63	良	35.3	42.2	23.8	0.924	49.1	46.5
嘉峪关市	2014-03-01	88	66-111	良	28.3	124.1	29.2	1.095	26.7	92.8
大同市	2014-03-01	54	32-78	良	22.9	61.9	59.4	1.959	36.3	48.9
大庆市	2014-03-01	39	30-50	优	25.2	33.8	17.9	0.455	28.1	61.5
大连市	2014-03-01	85	69-105	良	62.1	98.3	62.5	0.951	57.8	37.9
天津市	2014-03-01	93	33-171	良	64.7	112.3	70.9	1.756	65.6	34.9
太仓市	2014-03-01	43	34-62	优	24.8	39.5	36.1	1.113	24.3	67.9
太原市	2014-03-01	164	130-227	中度污染	125.1	188.3	147.9	2.434	35.7	23.3
威海市	2014-03-01	62	53-70	良	28.4	72.3	25.4	1.075	25.7	68.9
